PLACE,LATITUDE,LONGITUDE,URL
La Belle Electrique,45.187234303416176, 5.704196713169265,https://www.la-belle-electrique.com/
L'Ampérage,45.18875822082478, 5.703751222858289,https://www.amperage.fr/
La Cordo,45.04322103424077, 5.0438322475526105,https://www.lacordo.com/
La Source,45.1908556260264, 5.6879212144385995,https://lasource-fontaine.fr/
Austra Rocks,45.186042139657225, 5.756947711186544,https://www.austrarocks.com/villes/grenoble/
Le Summum,45.15540899227352, 5.737465870158892,https://www.summum-grenoble.com/
Drak Art,45.18888569358235, 5.703642628875203,https://www.facebook.com/p/Le-DRAK-ART-100064473173027
Centre culturel L'Ilyade,45.17585881813563, 5.695858731095901,https://www.lilyade.fr/
